 n      fib(n)           method         time  
465   6.757e+96    recursive_memoized   0.000 
465   6.757e+96    recursive_tail       0.013 
466   1.093e+97    iterative            0.005 
466   1.093e+97    recursive_memoized   0.000 
466   1.093e+97    recursive_tail       0.013 
467   1.769e+97    iterative            0.005 
467   1.769e+97    recursive_memoized   0.000 
467   1.769e+97    recursive_tail       0.013 
468   2.862e+97    iterative            0.005 
468   2.862e+97    recursive_memoized   0.000 
468   2.862e+97    recursive_tail       0.013 
469   4.631e+97    iterative            0.005 
469   4.631e+97    recursive_memoized   0.000 
469   4.631e+97    recursive_tail       0.013 
470   7.494e+97    iterative            0.005 
470   7.494e+97    recursive_memoized   0.000 
470   7.494e+97    recursive_tail       0.013 
471   1.213e+98    iterative            0.005 
471   1.213e+98    recursive_memoized   0.000 
471   1.213e+98    recursive_tail       0.013 
472   1.962e+98    iterative            0.005 
472   1.962e+98    recursive_memoized   0.000 
472   1.962e+98    recursive_tail       0.013 
473   3.174e+98    iterative            0.005 
473   3.174e+98    recursive_memoized   0.000 
473   3.174e+98    recursive_tail       0.012 
474   5.136e+98    iterative            0.005 
474   5.136e+98    recursive_memoized   0.000 
474   5.136e+98    recursive_tail       0.012 
475   8.311e+98    iterative            0.005 
475   8.311e+98    recursive_memoized   0.000 
475   8.311e+98    recursive_tail       0.012 
476   1.345e+99    iterative            0.005 
476   1.345e+99    recursive_memoized   0.000 
476   1.345e+99    recursive_tail       0.012 
477   2.176e+99    iterative            0.005 
477   2.176e+99    recursive_memoized   0.000 
477   2.176e+99    recursive_tail       0.012 
478   3.521e+99    iterative            0.005 
478   3.521e+99    recursive_memoized   0.000 
478   3.521e+99    recursive_tail       0.012 
479   5.696e+99    iterative            0.005 
479   5.696e+99    recursive_memoized   0.000 
479   5.696e+99    recursive_tail       0.012 
480   9.217e+99    iterative            0.005 
480   9.217e+99    recursive_memoized   0.000 
480   9.217e+99    recursive_tail       0.012 
481   1.491e+100   iterative            0.005 
481   1.491e+100   recursive_memoized   0.000 
481   1.491e+100   recursive_tail       0.012 
482   2.413e+100   iterative            0.005 
482   2.413e+100   recursive_memoized   0.000 
482   2.413e+100   recursive_tail       0.012 
483   3.904e+100   iterative            0.005 
483   3.904e+100   recursive_memoized   0.000 
483   3.904e+100   recursive_tail       0.012 
484   6.317e+100   iterative            0.005 
484   6.317e+100   recursive_memoized   0.000 
484   6.317e+100   recursive_tail       0.012 
485   1.022e+101   iterative            0.005 
485   1.022e+101   recursive_memoized   0.000 
485   1.022e+101   recursive_tail       0.012 
486   1.654e+101   iterative            0.005 
486   1.654e+101   recursive_memoized   0.000 
486   1.654e+101   recursive_tail       0.013 
487   2.676e+101   iterative            0.005 
487   2.676e+101   recursive_memoized   0.000 
487   2.676e+101   recursive_tail       0.013 
488   4.330e+101   iterative            0.005 
488   4.330e+101   recursive_memoized   0.000 
488   4.330e+101   recursive_tail       0.013 
489   7.006e+101   iterative            0.005 
489   7.006e+101   recursive_memoized   0.000 
489   7.006e+101   recursive_tail       0.013 
490   1.134e+102   iterative            0.005 
490   1.134e+102   recursive_memoized   0.000 
490   1.134e+102   recursive_tail       0.013 
491   1.834e+102   iterative            0.005 
491   1.834e+102   recursive_memoized   0.000 
491   1.834e+102   recursive_tail       0.013 
492   2.968e+102   iterative            0.005 
492   2.968e+102   recursive_memoized   0.000 
492   2.968e+102   recursive_tail       0.014 
493   4.802e+102   iterative            0.005 
493   4.802e+102   recursive_memoized   0.000 
493   4.802e+102   recursive_tail       0.014 
494   7.770e+102   iterative            0.005 
494   7.770e+102   recursive_memoized   0.001 
494   7.770e+102   recursive_tail       0.014 
495   1.257e+103   iterative            0.005 
495   1.257e+103   recursive_memoized   0.000 
495   1.257e+103   recursive_tail       0.014 
496   2.034e+103   iterative            0.005 
496   2.034e+103   recursive_memoized   0.000 
496   2.034e+103   recursive_tail       0.014 
497   3.291e+103   iterative            0.006 
497   3.291e+103   recursive_memoized   0.000 
497   3.291e+103   recursive_tail       0.014 
498   5.325e+103   iterative            0.005 
498   5.325e+103   recursive_memoized   0.000 
498   5.325e+103   recursive_tail       0.015 
499   8.617e+103   iterative            0.006 
499   8.617e+103   recursive_memoized   0.001 
499   8.617e+103   recursive_tail       0.014 
500   1.394e+104   iterative            0.005 
500   1.394e+104   recursive_memoized   0.001 
500   1.394e+104   recursive_tail       0.014 
501   2.256e+104   iterative            0.006 
501   2.256e+104   recursive_memoized   0.001 
501   2.256e+104   recursive_tail       0.014 
502   3.650e+104   iterative            0.006 
502   3.650e+104   recursive_memoized   0.000 
502   3.650e+104   recursive_tail       0.014 
503   5.906e+104   iterative            0.005 
503   5.906e+104   recursive_memoized   0.000 
503   5.906e+104   recursive_tail       0.014 
504   9.556e+104   iterative            0.005 
504   9.556e+104   recursive_memoized   0.000 
504   9.556e+104   recursive_tail       0.014 
505   1.546e+105   iterative            0.005 
505   1.546e+105   recursive_memoized   0.001 
505   1.546e+105   recursive_tail       0.014 
506   2.502e+105   iterative            0.005 
506   2.502e+105   recursive_memoized   0.000 
506   2.502e+105   recursive_tail       0.013 
507   4.048e+105   iterative            0.005 
507   4.048e+105   recursive_memoized   0.000 
507   4.048e+105   recursive_tail       0.013 
508   6.550e+105   iterative            0.005 
508   6.550e+105   recursive_memoized   0.000 
508   6.550e+105   recursive_tail       0.013 
509   1.060e+106   iterative            0.006 
509   1.060e+106   recursive_memoized   0.001 
509   1.060e+106   recursive_tail       0.014 
510   1.715e+106   iterative            0.005 
510   1.715e+106   recursive_memoized   0.000 
510   1.715e+106   recursive_tail       0.014 
511   2.775e+106   iterative            0.006 
511   2.775e+106   recursive_memoized   0.001 
511   2.775e+106   recursive_tail       0.014 
512   4.489e+106   iterative            0.005 
512   4.489e+106   recursive_memoized   0.000 
512   4.489e+106   recursive_tail       0.013 
513   7.264e+106   iterative            0.005 
513   7.264e+106   recursive_memoized   0.001 
513   7.264e+106   recursive_tail       0.014 
514   1.175e+107   iterative            0.005 
514   1.175e+107   recursive_memoized   0.000 
514   1.175e+107   recursive_tail       0.013 
515   1.902e+107   iterative            0.005 
515   1.902e+107   recursive_memoized   0.001 
515   1.902e+107   recursive_tail       0.013 
516   3.077e+107   iterative            0.006 
516   3.077e+107   recursive_memoized   0.000 
516   3.077e+107   recursive_tail       0.013 
517   4.979e+107   iterative            0.005 
517   4.979e+107   recursive_memoized   0.000 
517   4.979e+107   recursive_tail       0.013 
518   8.056e+107   iterative            0.005 
518   8.056e+107   recursive_memoized   0.000 
518   8.056e+107   recursive_tail       0.014 
519   1.303e+108   iterative            0.005 
519   1.303e+108   recursive_memoized   0.000 
519   1.303e+108   recursive_tail       0.014 
520   2.109e+108   iterative            0.005 
520   2.109e+108   recursive_memoized   0.001 
520   2.109e+108   recursive_tail       0.013 
521   3.413e+108   iterative            0.005 
521   3.413e+108   recursive_memoized   0.001 
521   3.413e+108   recursive_tail       0.014 
522   5.522e+108   iterative            0.005 
522   5.522e+108   recursive_memoized   0.000 
522   5.522e+108   recursive_tail       0.013 
523   8.934e+108   iterative            0.005 
523   8.934e+108   recursive_memoized   0.000 
523   8.934e+108   recursive_tail       0.013 
524   1.446e+109   iterative            0.005 
524   1.446e+109   recursive_memoized   0.000 
524   1.446e+109   recursive_tail       0.013 
525   2.339e+109   iterative            0.005 
525   2.339e+109   recursive_memoized   0.000 
525   2.339e+109   recursive_tail       0.014 
526   3.785e+109   iterative            0.005 
526   3.785e+109   recursive_memoized   0.000 
526   3.785e+109   recursive_tail       0.014 
527   6.124e+109   iterative            0.005 
527   6.124e+109   recursive_memoized   0.000 
527   6.124e+109   recursive_tail       0.014 
528   9.908e+109   iterative            0.006 
528   9.908e+109   recursive_memoized   0.000 
528   9.908e+109   recursive_tail       0.014 
529   1.603e+110   iterative            0.006 
529   1.603e+110   recursive_memoized   0.001 
529   1.603e+110   recursive_tail       0.014 
530   2.594e+110   iterative            0.006 
530   2.594e+110   recursive_memoized   0.001 
530   2.594e+110   recursive_tail       0.014 
531   4.197e+110   iterative            0.006 
531   4.197e+110   recursive_memoized   0.001 
531   4.197e+110   recursive_tail       0.014 
532   6.791e+110   iterative            0.006 
532   6.791e+110   recursive_memoized   0.000 
532   6.791e+110   recursive_tail       0.014 
533   1.099e+111   iterative            0.006 
533   1.099e+111   recursive_memoized   0.001 
533   1.099e+111   recursive_tail       0.014 
534   1.778e+111   iterative            0.006 
534   1.778e+111   recursive_memoized   0.000 
534   1.778e+111   recursive_tail       0.014 
535   2.877e+111   iterative            0.006 
535   2.877e+111   recursive_memoized   0.001 
535   2.877e+111   recursive_tail       0.014 
536   4.655e+111   iterative            0.006 
536   4.655e+111   recursive_memoized   0.001 
536   4.655e+111   recursive_tail       0.014 
537   7.531e+111   iterative            0.006 
537   7.531e+111   recursive_memoized   0.001 
537   7.531e+111   recursive_tail       0.014 
538   1.219e+112   iterative            0.006 
538   1.219e+112   recursive_memoized   0.001 
538   1.219e+112   recursive_tail       0.014 
539   1.972e+112   iterative            0.006 
539   1.972e+112   recursive_memoized   0.001 
539   1.972e+112   recursive_tail       0.014 
540   3.190e+112   iterative            0.006 
540   3.190e+112   recursive_memoized   0.001 
540   3.190e+112   recursive_tail       0.014 
541   5.162e+112   iterative            0.006 
541   5.162e+112   recursive_memoized   0.001 
541   5.162e+112   recursive_tail       0.014 
542   8.352e+112   iterative            0.006 
542   8.352e+112   recursive_memoized   0.001 
542   8.352e+112   recursive_tail       0.014 
543   1.351e+113   iterative            0.006 
543   1.351e+113   recursive_memoized   0.001 
543   1.351e+113   recursive_tail       0.014 
544   2.187e+113   iterative            0.006 
544   2.187e+113   recursive_memoized   0.001 
544   2.187e+113   recursive_tail       0.014 
545   3.538e+113   iterative            0.006 
545   3.538e+113   recursive_memoized   0.001 
545   3.538e+113   recursive_tail       0.014 
546   5.725e+113   iterative            0.007 
546   5.725e+113   recursive_memoized   0.001 
546   5.725e+113   recursive_tail       0.014 
547   9.263e+113   iterative            0.006 
547   9.263e+113   recursive_memoized   0.001 
547   9.263e+113   recursive_tail       0.015 
548   1.499e+114   iterative            0.006 
548   1.499e+114   recursive_memoized   0.001 
548   1.499e+114   recursive_tail       0.015 
549   2.425e+114   iterative            0.006 
549   2.425e+114   recursive_memoized   0.001 
549   2.425e+114   recursive_tail       0.014 
550   3.924e+114   iterative            0.006 
550   3.924e+114   recursive_memoized   0.001 
550   3.924e+114   recursive_tail       0.014 
551   6.349e+114   iterative            0.006 
551   6.349e+114   recursive_memoized   0.001 
551   6.349e+114   recursive_tail       0.014 
552   1.027e+115   iterative            0.006 
552   1.027e+115   recursive_memoized   0.001 
552   1.027e+115   recursive_tail       0.014 
553   1.662e+115   iterative            0.006 
553   1.662e+115   recursive_memoized   0.001 
553   1.662e+115   recursive_tail       0.014 
554   2.689e+115   iterative            0.006 
554   2.689e+115   recursive_memoized   0.001 
554   2.689e+115   recursive_tail       0.014 
555   4.352e+115   iterative            0.006 
555   4.352e+115   recursive_memoized   0.001 
555   4.352e+115   recursive_tail       0.014 
556   7.041e+115   iterative            0.006 
556   7.041e+115   recursive_memoized   0.001 
556   7.041e+115   recursive_tail       0.014 
557   1.139e+116   iterative            0.006 
557   1.139e+116   recursive_memoized   0.001 
557   1.139e+116   recursive_tail       0.015 
558   1.843e+116   iterative            0.006 
558   1.843e+116   recursive_memoized   0.001 
558   1.843e+116   recursive_tail       0.015 
559   2.983e+116   iterative            0.006 
559   2.983e+116   recursive_memoized   0.001 
559   2.983e+116   recursive_tail       0.015 
560   4.826e+116   iterative            0.006 
560   4.826e+116   recursive_memoized   0.001 
560   4.826e+116   recursive_tail       0.015 
561   7.809e+116   iterative            0.006 
561   7.809e+116   recursive_memoized   0.001 
561   7.809e+116   recursive_tail       0.015 
562   1.263e+117   iterative            0.006 
562   1.263e+117   recursive_memoized   0.001 
562   1.263e+117   recursive_tail       0.015 
563   2.044e+117   iterative            0.006 
563   2.044e+117   recursive_memoized   0.001 
563   2.044e+117   recursive_tail       0.015 
564   3.308e+117   iterative            0.006 
564   3.308e+117   recursive_memoized   0.001 
564   3.308e+117   recursive_tail       0.015 
565   5.352e+117   iterative            0.006 
565   5.352e+117   recursive_memoized   0.001 
565   5.352e+117   recursive_tail       0.015 
566   8.660e+117   iterative            0.006 
566   8.660e+117   recursive_memoized   0.001 
566   8.660e+117   recursive_tail       0.015 
567   1.401e+118   iterative            0.006 
567   1.401e+118   recursive_memoized   0.001 
567   1.401e+118   recursive_tail       0.016 
568   2.267e+118   iterative            0.006 
568   2.267e+118   recursive_memoized   0.001 
568   2.267e+118   recursive_tail       0.016 
569   3.668e+118   iterative            0.006 
569   3.668e+118   recursive_memoized   0.001 
569   3.668e+118   recursive_tail       0.016 
570   5.936e+118   iterative            0.006 
570   5.936e+118   recursive_memoized   0.001 
570   5.936e+118   recursive_tail       0.016 
571   9.604e+118   iterative            0.006 
571   9.604e+118   recursive_memoized   0.001 
571   9.604e+118   recursive_tail       0.016 
572   1.554e+119   iterative            0.006 
572   1.554e+119   recursive_memoized   0.001 
572   1.554e+119   recursive_tail       0.016 
573   2.514e+119   iterative            0.006 
573   2.514e+119   recursive_memoized   0.001 
573   2.514e+119   recursive_tail       0.016 
574   4.068e+119   iterative            0.006 
574   4.068e+119   recursive_memoized   0.001 
574   4.068e+119   recursive_tail       0.016 
575   6.583e+119   iterative            0.006 
575   6.583e+119   recursive_memoized   0.001 
575   6.583e+119   recursive_tail       0.016 
576   1.065e+120   iterative            0.006 
576   1.065e+120   recursive_memoized   0.001 
576   1.065e+120   recursive_tail       0.016 
577   1.723e+120   iterative            0.006 
577   1.723e+120   recursive_memoized   0.001 
577   1.723e+120   recursive_tail       0.015 
578   2.789e+120   iterative            0.006 
578   2.789e+120   recursive_memoized   0.001 
578   2.789e+120   recursive_tail       0.015 
579   4.512e+120   iterative            0.006 
579   4.512e+120   recursive_memoized   0.001 
579   4.512e+120   recursive_tail       0.015 
580   7.300e+120   iterative            0.006 
580   7.300e+120   recursive_memoized   0.001 
580   7.300e+120   recursive_tail       0.015 
581   1.181e+121   iterative            0.006 
581   1.181e+121   recursive_memoized   0.001 
581   1.181e+121   recursive_tail       0.015 
582   1.911e+121   iterative            0.006 
582   1.911e+121   recursive_memoized   0.001 
582   1.911e+121   recursive_tail       0.015 
583   3.092e+121   iterative            0.006 
583   3.092e+121   recursive_memoized   0.001 
583   3.092e+121   recursive_tail       0.015 
584   5.004e+121   iterative            0.006 
584   5.004e+121   recursive_memoized   0.001 
584   5.004e+121   recursive_tail       0.015 
585   8.096e+121   iterative            0.006 
585   8.096e+121   recursive_memoized   0.001 
585   8.096e+121   recursive_tail       0.015 
586   1.310e+122   iterative            0.006 
586   1.310e+122   recursive_memoized   0.001 
586   1.310e+122   recursive_tail       0.015 
587   2.120e+122   iterative            0.007 
587   2.120e+122   recursive_memoized   0.001 
587   2.120e+122   recursive_tail       0.016 
588   3.430e+122   iterative            0.006 
588   3.430e+122   recursive_memoized   0.001 
588   3.430e+122   recursive_tail       0.016 
589   5.549e+122   iterative            0.007 
589   5.549e+122   recursive_memoized   0.001 
589   5.549e+122   recursive_tail       0.016 
590   8.979e+122   iterative            0.006 
590   8.979e+122   recursive_memoized   0.001 
590   8.979e+122   recursive_tail       0.016 
591   1.453e+123   iterative            0.007 
591   1.453e+123   recursive_memoized   0.001 
591   1.453e+123   recursive_tail       0.016 
592   2.351e+123   iterative            0.006 
592   2.351e+123   recursive_memoized   0.001 
592   2.351e+123   recursive_tail       0.016 
593   3.804e+123   iterative            0.008 
593   3.804e+123   recursive_memoized   0.001 
593   3.804e+123   recursive_tail       0.017 
594   6.154e+123   iterative            0.007 
594   6.154e+123   recursive_memoized   0.001 
594   6.154e+123   recursive_tail       0.016 
595   9.958e+123   iterative            0.006 
595   9.958e+123   recursive_memoized   0.001 
595   9.958e+123   recursive_tail       0.017 
596   1.611e+124   iterative            0.007 
596   1.611e+124   recursive_memoized   0.001 
596   1.611e+124   recursive_tail       0.016 
597   2.607e+124   iterative            0.007 
597   2.607e+124   recursive_memoized   0.001 
597   2.607e+124   recursive_tail       0.017 
598   4.218e+124   iterative            0.007 
598   4.218e+124   recursive_memoized   0.001 
598   4.218e+124   recursive_tail       0.016 
599   6.825e+124   iterative            0.006 
599   6.825e+124   recursive_memoized   0.001 
599   6.825e+124   recursive_tail       0.016 
600   1.104e+125   iterative            0.007 
600   1.104e+125   recursive_memoized   0.001 
600   1.104e+125   recursive_tail       0.016 
601   1.787e+125   iterative            0.007 
601   1.787e+125   recursive_memoized   0.001 
601   1.787e+125   recursive_tail       0.016 
602   2.891e+125   iterative            0.007 
602   2.891e+125   recursive_memoized   0.001 
602   2.891e+125   recursive_tail       0.016 
603   4.678e+125   iterative            0.006 
603   4.678e+125   recursive_memoized   0.001 
603   4.678e+125   recursive_tail       0.016 
604   7.569e+125   iterative            0.007 
604   7.569e+125   recursive_memoized   0.001 
604   7.569e+125   recursive_tail       0.017 
605   1.225e+126   iterative            0.006 
605   1.225e+126   recursive_memoized   0.001 
605   1.225e+126   recursive_tail       0.016 
606   1.982e+126   iterative            0.006 
606   1.982e+126   recursive_memoized   0.001 
606   1.982e+126   recursive_tail       0.016 
607   3.206e+126   iterative            0.006 
607   3.206e+126   recursive_memoized   0.001 
607   3.206e+126   recursive_tail       0.017 
608   5.188e+126   iterative            0.006 
608   5.188e+126   recursive_memoized   0.001 
608   5.188e+126   recursive_tail       0.016 
609   8.394e+126   iterative            0.007 
609   8.394e+126   recursive_memoized   0.001 
609   8.394e+126   recursive_tail       0.016 
610   1.358e+127   iterative            0.006 
610   1.358e+127   recursive_memoized   0.001 
610   1.358e+127   recursive_tail       0.016 
611   2.198e+127   iterative            0.006 
611   2.198e+127   recursive_memoized   0.001 
611   2.198e+127   recursive_tail       0.016 
612   3.556e+127   iterative            0.006 
612   3.556e+127   recursive_memoized   0.001 
612   3.556e+127   recursive_tail       0.016 
613   5.754e+127   iterative            0.006 
613   5.754e+127   recursive_memoized   0.001 
613   5.754e+127   recursive_tail       0.016 
614   9.309e+127   iterative            0.006 
614   9.309e+127   recursive_memoized   0.001 
614   9.309e+127   recursive_tail       0.017 
615   1.506e+128   iterative            0.007 
615   1.506e+128   recursive_memoized   0.001 
615   1.506e+128   recursive_tail       0.017 
616   2.437e+128   iterative            0.007 
616   2.437e+128   recursive_memoized   0.001 
616   2.437e+128   recursive_tail       0.017 
617   3.944e+128   iterative            0.007 
617   3.944e+128   recursive_memoized   0.001 
617   3.944e+128   recursive_tail       0.017 
618   6.381e+128   iterative            0.007 
618   6.381e+128   recursive_memoized   0.001 
618   6.381e+128   recursive_tail       0.017 
619   1.032e+129   iterative            0.007 
619   1.032e+129   recursive_memoized   0.001 
619   1.032e+129   recursive_tail       0.017 
620   1.671e+129   iterative            0.007 
620   1.671e+129   recursive_memoized   0.001 
620   1.671e+129   recursive_tail       0.017 
621   2.703e+129   iterative            0.007 
621   2.703e+129   recursive_memoized   0.001 
621   2.703e+129   recursive_tail       0.017 
622   4.373e+129   iterative            0.007 
622   4.373e+129   recursive_memoized   0.001 
622   4.373e+129   recursive_tail       0.017 
623   7.076e+129   iterative            0.007 
623   7.076e+129   recursive_memoized   0.001 
623   7.076e+129   recursive_tail       0.018 
624   1.145e+130   iterative            0.007 
624   1.145e+130   recursive_memoized   0.001 
624   1.145e+130   recursive_tail       0.017 
625   1.853e+130   iterative            0.007 
625   1.853e+130   recursive_memoized   0.001 
625   1.853e+130   recursive_tail       0.017 
626   2.998e+130   iterative            0.007 
626   2.998e+130   recursive_memoized   0.001 
626   2.998e+130   recursive_tail       0.017 
627   4.850e+130   iterative            0.007 
627   4.850e+130   recursive_memoized   0.001 
627   4.850e+130   recursive_tail       0.016 
628   7.848e+130   iterative            0.007 
628   7.848e+130   recursive_memoized   0.001 
628   7.848e+130   recursive_tail       0.017 
629   1.270e+131   iterative            0.007 
629   1.270e+131   recursive_memoized   0.001 
629   1.270e+131   recursive_tail       0.017 
630   2.055e+131   iterative            0.007 
630   2.055e+131   recursive_memoized   0.001 
630   2.055e+131   recursive_tail       0.017 
631   3.324e+131   iterative            0.007 
631   3.324e+131   recursive_memoized   0.001 
631   3.324e+131   recursive_tail       0.017 
632   5.379e+131   iterative            0.007 
632   5.379e+131   recursive_memoized   0.001 
632   5.379e+131   recursive_tail       0.018 
633   8.703e+131   iterative            0.007 
633   8.703e+131   recursive_memoized   0.001 
633   8.703e+131   recursive_tail       0.018 
634   1.408e+132   iterative            0.007 
634   1.408e+132   recursive_memoized   0.001 
634   1.408e+132   recursive_tail       0.017 
635   2.279e+132   iterative            0.007 
635   2.279e+132   recursive_memoized   0.001 
635   2.279e+132   recursive_tail       0.017 
636   3.687e+132   iterative            0.007 
636   3.687e+132   recursive_memoized   0.001 
636   3.687e+132   recursive_tail       0.017 
637   5.965e+132   iterative            0.007 
637   5.965e+132   recursive_memoized   0.001 
637   5.965e+132   recursive_tail       0.017 
638   9.652e+132   iterative            0.007 
638   9.652e+132   recursive_memoized   0.001 
638   9.652e+132   recursive_tail       0.017 
639   1.562e+133   iterative            0.007 
639   1.562e+133   recursive_memoized   0.001 
639   1.562e+133   recursive_tail       0.017 
640   2.527e+133   iterative            0.007 
640   2.527e+133   recursive_memoized   0.001 
640   2.527e+133   recursive_tail       0.017 
641   4.089e+133   iterative            0.007 
641   4.089e+133   recursive_memoized   0.001 
641   4.089e+133   recursive_tail       0.017 
642   6.616e+133   iterative            0.007 
642   6.616e+133   recursive_memoized   0.001 
642   6.616e+133   recursive_tail       0.018 
643   1.070e+134   iterative            0.007 
643   1.070e+134   recursive_memoized   0.001 
643   1.070e+134   recursive_tail       0.017 
644   1.732e+134   iterative            0.007 
644   1.732e+134   recursive_memoized   0.001 
644   1.732e+134   recursive_tail       0.017 
645   2.802e+134   iterative            0.007 
645   2.802e+134   recursive_memoized   0.001 
645   2.802e+134   recursive_tail       0.017 
646   4.535e+134   iterative            0.007 
646   4.535e+134   recursive_memoized   0.001 
646   4.535e+134   recursive_tail       0.017 
647   7.337e+134   iterative            0.007 
647   7.337e+134   recursive_memoized   0.001 
647   7.337e+134   recursive_tail       0.017 
648   1.187e+135   iterative            0.007 
648   1.187e+135   recursive_memoized   0.001 
648   1.187e+135   recursive_tail       0.017 
649   1.921e+135   iterative            0.007 
649   1.921e+135   recursive_memoized   0.001 
649   1.921e+135   recursive_tail       0.018 
650   3.108e+135   iterative            0.007 
650   3.108e+135   recursive_memoized   0.001 
650   3.108e+135   recursive_tail       0.017 
651   5.029e+135   iterative            0.007 
651   5.029e+135   recursive_memoized   0.001 
651   5.029e+135   recursive_tail       0.017 
652   8.137e+135   iterative            0.007 
652   8.137e+135   recursive_memoized   0.001 
652   8.137e+135   recursive_tail       0.017 
653   1.317e+136   iterative            0.007 
653   1.317e+136   recursive_memoized   0.001 
653   1.317e+136   recursive_tail       0.017 
654   2.130e+136   iterative            0.007 
654   2.130e+136   recursive_memoized   0.001 
654   2.130e+136   recursive_tail       0.017 
655   3.447e+136   iterative            0.007 
655   3.447e+136   recursive_memoized   0.001 
655   3.447e+136   recursive_tail       0.017 
656   5.577e+136   iterative            0.007 
656   5.577e+136   recursive_memoized   0.001 
656   5.577e+136   recursive_tail       0.018 
657   9.024e+136   iterative            0.007 
657   9.024e+136   recursive_memoized   0.001 
657   9.024e+136   recursive_tail       0.017 
658   1.460e+137   iterative            0.007 
658   1.460e+137   recursive_memoized   0.001 
658   1.460e+137   recursive_tail       0.018 
659   2.362e+137   iterative            0.007 
659   2.362e+137   recursive_memoized   0.001 
659   2.362e+137   recursive_tail       0.018 
660   3.823e+137   iterative            0.007 
660   3.823e+137   recursive_memoized   0.001 
660   3.823e+137   recursive_tail       0.017 
661   6.185e+137   iterative            0.007 
661   6.185e+137   recursive_memoized   0.001 
661   6.185e+137   recursive_tail       0.018 
662   1.001e+138   iterative            0.007 
662   1.001e+138   recursive_memoized   0.001 
662   1.001e+138   recursive_tail       0.018 
663   1.619e+138   iterative            0.007 
663   1.619e+138   recursive_memoized   0.001 
663   1.619e+138   recursive_tail       0.018 
664   2.620e+138   iterative            0.007 
664   2.620e+138   recursive_memoized   0.001 
664   2.620e+138   recursive_tail       0.018 
665   4.239e+138   iterative            0.007 
665   4.239e+138   recursive_memoized   0.001 
665   4.239e+138   recursive_tail       0.018 
666   6.859e+138   iterative            0.007 
666   6.859e+138   recursive_memoized   0.001 
666   6.859e+138   recursive_tail       0.018 
667   1.110e+139   iterative            0.007 
667   1.110e+139   recursive_memoized   0.001 
667   1.110e+139   recursive_tail       0.018 
668   1.796e+139   iterative            0.007 
668   1.796e+139   recursive_memoized   0.001 
668   1.796e+139   recursive_tail       0.018 
669   2.906e+139   iterative            0.007 
669   2.906e+139   recursive_memoized   0.001 
669   2.906e+139   recursive_tail       0.018 
670   4.701e+139   iterative            0.007 
670   4.701e+139   recursive_memoized   0.001 
670   4.701e+139   recursive_tail       0.018 
671   7.607e+139   iterative            0.007 
671   7.607e+139   recursive_memoized   0.001 
671   7.607e+139   recursive_tail       0.018 
672   1.231e+140   iterative            0.007 
672   1.231e+140   recursive_memoized   0.001 
672   1.231e+140   recursive_tail       0.018 
673   1.992e+140   iterative            0.008 
673   1.992e+140   recursive_memoized   0.001 
673   1.992e+140   recursive_tail       0.018 
674   3.222e+140   iterative            0.007 
674   3.222e+140   recursive_memoized   0.001 
674   3.222e+140   recursive_tail       0.019 
675   5.214e+140   iterative            0.007 
675   5.214e+140   recursive_memoized   0.001 
675   5.214e+140   recursive_tail       0.018 
676   8.436e+140   iterative            0.007 
676   8.436e+140   recursive_memoized   0.001 
676   8.436e+140   recursive_tail       0.018 
677   1.365e+141   iterative            0.007 
677   1.365e+141   recursive_memoized   0.001 
677   1.365e+141   recursive_tail       0.018 
678   2.209e+141   iterative            0.007 
678   2.209e+141   recursive_memoized   0.001 
678   2.209e+141   recursive_tail       0.018 
679   3.574e+141   iterative            0.007 
679   3.574e+141   recursive_memoized   0.001 
679   3.574e+141   recursive_tail       0.018 
680   5.782e+141   iterative            0.007 
680   5.782e+141   recursive_memoized   0.001 
680   5.782e+141   recursive_tail       0.019 
681   9.356e+141   iterative            0.007 
681   9.356e+141   recursive_memoized   0.001 
681   9.356e+141   recursive_tail       0.019 
682   1.514e+142   iterative            0.007 
682   1.514e+142   recursive_memoized   0.001 
682   1.514e+142   recursive_tail       0.018 
683   2.449e+142   iterative            0.007 
683   2.449e+142   recursive_memoized   0.001 
683   2.449e+142   recursive_tail       0.019 
684   3.963e+142   iterative            0.008 
684   3.963e+142   recursive_memoized   0.001 
684   3.963e+142   recursive_tail       0.018 
685   6.413e+142   iterative            0.007 
685   6.413e+142   recursive_memoized   0.001 
685   6.413e+142   recursive_tail       0.018 
686   1.038e+143   iterative            0.007 
686   1.038e+143   recursive_memoized   0.001 
686   1.038e+143   recursive_tail       0.018 
687   1.679e+143   iterative            0.007 
687   1.679e+143   recursive_memoized   0.001 
687   1.679e+143   recursive_tail       0.018 
688   2.717e+143   iterative            0.007 
688   2.717e+143   recursive_memoized   0.001 
688   2.717e+143   recursive_tail       0.018 
689   4.395e+143   iterative            0.007 
689   4.395e+143   recursive_memoized   0.001 
689   4.395e+143   recursive_tail       0.019 
690   7.112e+143   iterative            0.007 
690   7.112e+143   recursive_memoized   0.001 
690   7.112e+143   recursive_tail       0.019 
691   1.151e+144   iterative            0.007 
691   1.151e+144   recursive_memoized   0.001 
691   1.151e+144   recursive_tail       0.019 
692   1.862e+144   iterative            0.007 
692   1.862e+144   recursive_memoized   0.001 
692   1.862e+144   recursive_tail       0.018 
693   3.013e+144   iterative            0.008 
693   3.013e+144   recursive_memoized   0.001 
693   3.013e+144   recursive_tail       0.019 
694   4.875e+144   iterative            0.007 
